"Breast_MB","Breast_TCGA and Breast_MB","Breast_TCGA","Lung","Thyroid","Lung and Breast_TCGA and Breast_MB","Lung and Breast_MB","Lung and Breast_TCGA","Thyroid and Breast_TCGA","Thyroid and Breast_MB","Thyroid and Breast_TCGA and Breast_MB","Prostate","Kidney","Thyroid and Lung","Kidney and Breast_TCGA and Breast_MB","Prostate and Breast_MB","Thyroid and Lung and Breast_MB","Prostate and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA","Lung and Thyroid and Breast_TCGA and Breast_MB","Prostate and Lung","Prostate and Breast_TCGA","Lung and Thyroid and Breast_TCGA","Kidney and Breast_MB","Lung and Prostate and Breast_TCGA and Breast_MB"
"ASCL2","BAZ1A","BICD1","CRYGN","NDUFS2","TUBB3","","","","","","","","","","","","","","","","","","","",""
"ASNS","BBOF1","BMF","CSGALNACT2","NEURL2","UBE2C","","","","","","","","","","","","","","","","","","","",""
"ASS1","BBOX1","BMP5","CTSO","NRBP2","WDR86","","","","","","","","","","","","","","","","","","","",""
"ASTN2","BCAS1","BMP6","CTSS","NTRK2","ZNF695","","","","","","","","","","","","","","","","","","","",""
"ATF4","BCDIN3D","BMP8A","CTU1","NXF1","","","","","","","","","","","","","","","","","","","","",""
"ATG12","BCHE","BMPR1A","CXCL16","OAS3","","","","","","","","","","","","","","","","","","","","",""
"ATHL1","BCKDK","BNC1","CXORF21","ODF3L1","","","","","","","","","","","","","","","","","","","","",""
"ATL3","BCL11A","BNC2","CYBB","OGDHL","","","","","","","","","","","","","","","","","","","","",""
"ATP13A5","BECN1","BORCS6","CYP27A1","OLFML2A","","","","","","","","","","","","","","","","","","","","",""
"ATP1B3","BEND6","BPI","CYP2C18","PARK2","","","","","","","","","","","","","","","","","","","","",""
"ATP2C2","BHLHE22","BPIFB2","CYP2U1","PARP14","","","","","","","","","","","","","","","","","","","","",""
"ATP5C1","BHLHE41","BPTF","CYSLTR1","PCDH9","","","","","","","","","","","","","","","","","","","","",""
"ATP5L","BID","BRIP1","CYSTM1","PCDHA3","","","","","","","","","","","","","","","","","","","","",""
"ATP6V0A4","BIRC3","BTBD3","DBF4B","PCDHA5","","","","","","","","","","","","","","","","","","","","",""
"ATP6V0C","BIVM","BTF3L4","DCAF6","PCED1B","","","","","","","","","","","","","","","","","","","","",""
"ATP6V1G2","BLM","BTN3A1","DDX24","PDLIM1","","","","","","","","","","","","","","","","","","","","",""
"ATP7B","BLOC1S1","BUB1B","DDX56","PFKFB2","","","","","","","","","","","","","","","","","","","","",""
"ATPAF1","BMP1","C10ORF25","DKK2","PHF11","","","","","","","","","","","","","","","","","","","","",""
"ATXN2","BNIP2","C10ORF90","DMAP1","PIBF1","","","","","","","","","","","","","","","","","","","","",""
"AUH","BOC","C14ORF37","DMPK","PKP4","","","","","","","","","","","","","","","","","","","","",""
"AUTS2","BORA","C15ORF48","DNAAF5","PLAG1","","","","","","","","","","","","","","","","","","","","",""
"AVP","BORCS7","C15ORF56","DNAJC5B","PLEKHG3","","","","","","","","","","","","","","","","","","","","",""
"AXL","BRINP1","C16ORF71","DPH7","PLK3","","","","","","","","","","","","","","","","","","","","",""
