Gene,FC,Source
HPDL,1.25,Lung
HSD11B1,1.25,Lung
HSD17B11,1.25,Lung
HSD17B1,1.25,Lung
HSD17B2,1.25,Lung
HSD17B6,1.25,Lung
HSF1,1.25,Lung
HSPBP1,1.25,Lung
HYLS1,1.25,Lung
IFRD1,1.25,Lung
IGHMBP2,1.25,Lung
IKZF1,1.25,Lung
IL16,1.25,Lung
IL17C,1.25,Lung
IL18,1.25,Lung
IL37,1.25,Lung
IL7,1.25,Lung
IMPDH1,1.25,Lung
INA,1.25,Lung
INMT,1.25,Lung
INO80E,1.25,Lung
IPPK,1.25,Lung
IQGAP2,1.25,Lung
IRF2,1.25,Lung
IRF8,1.25,Lung
ITGA2,1.25,Lung
ITGA6,1.25,Lung
ITGA8,1.25,Lung
ITGB6,1.25,Lung
ITIH3,1.25,Lung
ITM2A,1.25,Lung
ITM2B,1.25,Lung
ITPR2,1.25,Lung
JAZF1,1.25,Lung
JMJD6,1.25,Lung
KAT2B,1.25,Lung
KCNJ5,1.25,Lung
KCNK12,1.25,Lung
KCTD13,1.25,Lung
KDELR1,1.25,Lung
AP5Z1,1.25,Lung
EFCAB14,1.25,Lung
KIF18B,1.25,Lung
KIF20A,1.25,Lung
KIF2C,1.25,Lung
KIFC1,1.25,Lung
KIFC2,1.25,Lung
KIFC3,1.25,Lung
KLC2,1.25,Lung
KLC3,1.25,Lung
KLHL17,1.25,Lung
KLRG1,1.25,Lung
LAMA2,1.25,Lung
LARGE,1.25,Lung
LCP1,1.25,Lung
LGALS4,1.25,Lung
LIN7B,1.25,Lung
LIPA,1.25,Lung
LIPG,1.25,Lung
LMNB2,1.25,Lung
LINC01140,1.25,Lung
LPAR5,1.25,Lung
LRAT,1.25,Lung
LRMP,1.25,Lung
LRRC14,1.25,Lung
LRRC31,1.25,Lung
LRRC4C,1.25,Lung
LRRFIP1,1.25,Lung
LRRK2,1.25,Lung
LRWD1,1.25,Lung
LSM7,1.25,Lung
LTA,1.25,Lung
LY75,1.25,Lung
LYSMD1,1.25,Lung
LYZ,1.25,Lung
MACROD2,1.25,Lung
MAGIX,1.25,Lung
MAOB,1.25,Lung
MAP3K10,1.25,Lung
MAP3K1,1.25,Lung
MAP6D1,1.25,Lung
MAPK10,1.25,Lung
MARCH1,1.25,Lung
MARK2,1.25,Lung
MARK4,1.25,Lung
MAST1,1.25,Lung
MASTL,1.25,Lung
MAT2B,1.25,Lung
MAZ,1.25,Lung
MBNL1,1.25,Lung
MDM2,1.25,Lung
ME3,1.25,Lung
MED27,1.25,Lung
MEGF11,1.25,Lung
MEN1,1.25,Lung
METTL15,1.25,Lung
METTL14,1.25,Lung
METTL7A,1.25,Lung
METTL7B,1.25,Lung
MEX3D,1.25,Lung
MFAP4,1.25,Lung
MGAT3,1.25,Lung
MIR503HG,1.25,Lung
MIA2,1.25,Lung
MKX,1.25,Lung
MMAA,1.25,Lung
MMGT1,1.25,Lung
MMP17,1.25,Lung
MOB3B,1.25,Lung
MORF4L2,1.25,Lung
MOXD1,1.25,Lung
MPEG1,1.25,Lung
MR1,1.25,Lung
MRC1,1.25,Lung
MRPL12,1.25,Lung
MRPL41,1.25,Lung
MRPS21,1.25,Lung
MRPS24,1.25,Lung
MRPS2,1.25,Lung
MS4A4A,1.25,Lung
MS4A6A,1.25,Lung
MS4A7,1.25,Lung
MSN,1.25,Lung
MT1L,1.25,Lung
MTA1,1.25,Lung
MTBP,1.25,Lung
MTF2,1.25,Lung
MTM1,1.25,Lung
MTMR10,1.25,Lung
MTX1,1.25,Lung
MUS81,1.25,Lung
MYBL2,1.25,Lung
MYPOP,1.25,Lung
N4BP2L1,1.25,Lung
NAA40,1.25,Lung
NAPSB,1.25,Lung
NAT9,1.25,Lung
NCAM2,1.25,Lung
NCAPG2,1.25,Lung
NCKAP1L,1.25,Lung
