Gene,FC,Source
FLT3,2,Breast_TCGA
FMO1,2,Breast_TCGA
FMO2,2,Breast_TCGA
FMO5,2,Breast_TCGA
FOXA1,2,Breast_TCGA
FOXC1,2,Breast_TCGA
FRAS1,2,Breast_TCGA
FREM1,2,Breast_TCGA
FREM2,2,Breast_TCGA
FXYD6,2,Breast_TCGA
FZD7,2,Breast_TCGA
GABRP,2,Breast_TCGA
GALNT3,2,Breast_TCGA
GAS1,2,Breast_TCGA
GATA3-AS1,2,Breast_TCGA
GDF15,2,Breast_TCGA
GJB1,2,Breast_TCGA
GJB3,2,Breast_TCGA
GLRA3,2,Breast_TCGA
GLYATL1,2,Breast_TCGA
GP2,2,Breast_TCGA
GPM6B,2,Breast_TCGA
GREB1,2,Breast_TCGA
GRIK3,2,Breast_TCGA
GULP1,2,Breast_TCGA
H2AFY2,2,Breast_TCGA
HAPLN1,2,Breast_TCGA
HAPLN3,2,Breast_TCGA
HEPH,2,Breast_TCGA
HERC5,2,Breast_TCGA
HERC6,2,Breast_TCGA
HEY2,2,Breast_TCGA
HMGCS2,2,Breast_TCGA
HPN,2,Breast_TCGA
HR,2,Breast_TCGA
HSD17B2,2,Breast_TCGA
ID4,2,Breast_TCGA
IGSF1,2,Breast_TCGA
IGSF10,2,Breast_TCGA
IGSF21,2,Breast_TCGA
IL27RA,2,Breast_TCGA
IL7R,2,Breast_TCGA
INPP5J,2,Breast_TCGA
IRX1,2,Breast_TCGA
ITM2C,2,Breast_TCGA
ITPR1,2,Breast_TCGA
JCHAIN,2,Breast_TCGA
KANK4,2,Breast_TCGA
KCNE4,2,Breast_TCGA
KCNK5,2,Breast_TCGA
KCNN4,2,Breast_TCGA
KIAA1755,2,Breast_TCGA
KIF2C,2,Breast_TCGA
KIT,2,Breast_TCGA
KLF5,2,Breast_TCGA
KLHDC7B,2,Breast_TCGA
KLHL13,2,Breast_TCGA
KLK10,2,Breast_TCGA
KLK5,2,Breast_TCGA
KLK6,2,Breast_TCGA
KLK7,2,Breast_TCGA
KRT14,2,Breast_TCGA
KRT16,2,Breast_TCGA
KRT17,2,Breast_TCGA
KRT5,2,Breast_TCGA
KRT6B,2,Breast_TCGA
KRT7,2,Breast_TCGA
KRT81,2,Breast_TCGA
LAMA1,2,Breast_TCGA
LAMB3,2,Breast_TCGA
LAMC2,2,Breast_TCGA
LAMP3,2,Breast_TCGA
LDHB,2,Breast_TCGA
LGR6,2,Breast_TCGA
LMO4,2,Breast_TCGA
LOXL4,2,Breast_TCGA
LRIG3,2,Breast_TCGA
LRP2,2,Breast_TCGA
LRP4,2,Breast_TCGA
LRP8,2,Breast_TCGA
MAGED4B,2,Breast_TCGA
MAMDC2,2,Breast_TCGA
MAML2,2,Breast_TCGA
MARK1,2,Breast_TCGA
MCTP2,2,Breast_TCGA
MET,2,Breast_TCGA
METRN,2,Breast_TCGA
MFGE8,2,Breast_TCGA
MGP,2,Breast_TCGA
MIA,2,Breast_TCGA
MID1,2,Breast_TCGA
MLPH,2,Breast_TCGA
MME,2,Breast_TCGA
MMP3,2,Breast_TCGA
MMP7,2,Breast_TCGA
MOB3B,2,Breast_TCGA
MSMB,2,Breast_TCGA
MT1X,2,Breast_TCGA
MUC16,2,Breast_TCGA
MUC5B,2,Breast_TCGA
MYBL2,2,Breast_TCGA
MYBPC1,2,Breast_TCGA
MYC,2,Breast_TCGA
MYH11,2,Breast_TCGA
MYH14,2,Breast_TCGA
MYLK,2,Breast_TCGA
MZB1,2,Breast_TCGA
NAT1,2,Breast_TCGA
NCCRP1,2,Breast_TCGA
NDP,2,Breast_TCGA
NECAB1,2,Breast_TCGA
NEFH,2,Breast_TCGA
NFIB,2,Breast_TCGA
NGFR,2,Breast_TCGA
NHLRC4,2,Breast_TCGA
NKX3-1,2,Breast_TCGA
NOSTRIN,2,Breast_TCGA
NOVA1,2,Breast_TCGA
NRIP3,2,Breast_TCGA
NTRK3,2,Breast_TCGA
OLFM2,2,Breast_TCGA
OLFM4,2,Breast_TCGA
OSR1,2,Breast_TCGA
OXTR,2,Breast_TCGA
PADI2,2,Breast_TCGA
PARM1,2,Breast_TCGA
PCDH18,2,Breast_TCGA
PDGFRA,2,Breast_TCGA
PEG10,2,Breast_TCGA
PFN2,2,Breast_TCGA
PIK3C2G,2,Breast_TCGA
PIP,2,Breast_TCGA
PKIB,2,Breast_TCGA
PKP1,2,Breast_TCGA
PLAGL1,2,Breast_TCGA
PLCB4,2,Breast_TCGA
PLEKHG1,2,Breast_TCGA
PNMAL1,2,Breast_TCGA
POU2AF1,2,Breast_TCGA
PPM1K,2,Breast_TCGA
PPP1R14C,2,Breast_TCGA
PRICKLE1,2,Breast_TCGA
PRKX,2,Breast_TCGA
PROM1,2,Breast_TCGA
PRR15,2,Breast_TCGA
PRSS12,2,Breast_TCGA
PSAT1,2,Breast_TCGA
PTHLH,2,Breast_TCGA
PTN,2,Breast_TCGA
PTPRN2,2,Breast_TCGA
RAB30,2,Breast_TCGA
RANBP3L,2,Breast_TCGA
RARRES1,2,Breast_TCGA
RASAL1,2,Breast_TCGA
RBP1,2,Breast_TCGA
REEP1,2,Breast_TCGA
REEP6,2,Breast_TCGA
RELN,2,Breast_TCGA
REPS2,2,Breast_TCGA
RGMA,2,Breast_TCGA
RGS2,2,Breast_TCGA
RGS4,2,Breast_TCGA
ROBO1,2,Breast_TCGA
ROPN1,2,Breast_TCGA
ROPN1B,2,Breast_TCGA
S100A2,2,Breast_TCGA
S100B,2,Breast_TCGA
SAMD5,2,Breast_TCGA
